,tickerPair,month_id,ticker2,Date,ticker1,month,new_month,Spread1,Spread2,ratio,isPair,Spread1.log,Spread2.log,ratio.log
1,ABX|NEMCRP,1,NEMCRP,1/3/2011,ABX,1,FALSE,56.025,65.94,0.849636033,FALSE,4.02579802,4.188745238,0.9610988
2,ABX|NEMCRP,1,NEMCRP,1/4/2011,ABX,1,FALSE,57.81,66.22,0.872999094,FALSE,4.057161771,4.192982532,0.967607602
3,ABX|NEMCRP,1,NEMCRP,1/5/2011,ABX,1,FALSE,58.545,67.315,0.869717002,FALSE,4.069795689,4.209383094,0.966838988
4,ABX|NEMCRP,1,NEMCRP,1/6/2011,ABX,1,FALSE,58.085,68.125,0.852623853,FALSE,4.061907455,4.221344253,0.962230799
5,ABX|NEMCRP,1,NEMCRP,1/7/2011,ABX,1,FALSE,60.8,69.56,0.874065555,FALSE,4.107589789,4.242189689,0.968271126
6,ABX|NEMCRP,1,NEMCRP,1/10/2011,ABX,1,FALSE,60.55,70.76,0.85570944,FALSE,4.10346947,4.259293869,0.963415438
7,ABX|NEMCRP,1,NEMCRP,1/11/2011,ABX,1,FALSE,59.195,70.1,0.844436519,FALSE,4.080837079,4.249922794,0.960214403
8,ABX|NEMCRP,1,NEMCRP,1/12/2011,ABX,1,FALSE,58.405,68.595,0.851446898,FALSE,4.067401503,4.228219646,0.961965518
9,ABX|NEMCRP,1,NEMCRP,1/13/2011,ABX,1,FALSE,58.435,69.06,0.846148277,FALSE,4.067915025,4.234975692,0.960552155
10,ABX|NEMCRP,1,NEMCRP,1/14/2011,ABX,1,FALSE,59.155,69.31,0.853484346,FALSE,4.080161118,4.238589196,0.96262245
11,ABX|NEMCRP,1,NEMCRP,1/17/2011,ABX,1,FALSE,59.2,69.6,0.850574713,FALSE,4.080921542,4.242764567,0.961854347
12,ABX|NEMCRP,1,NEMCRP,1/18/2011,ABX,1,FALSE,58.465,69.595,0.840074718,FALSE,4.068428285,4.242692726,0.958925981
13,ABX|NEMCRP,1,NEMCRP,1/19/2011,ABX,1,FALSE,59.145,70.8,0.835381356,FALSE,4.079992056,4.259859001,0.957776315
14,ABX|NEMCRP,1,NEMCRP,1/20/2011,ABX,1,FALSE,60.82,70.58,0.8617172,FALSE,4.107918682,4.256746818,0.965037118
15,ABX|NEMCRP,1,NEMCRP,1/21/2011,ABX,1,FALSE,58.805,69,0.852246377,FALSE,4.074226885,4.234106505,0.962240057
16,ABX|NEMCRP,1,NEMCRP,1/24/2011,ABX,1,FALSE,59.505,68.77,0.865275556,FALSE,4.086060343,4.230767603,0.965796452
17,ABX|NEMCRP,1,NEMCRP,1/25/2011,ABX,1,FALSE,61.07,70.44,0.866978989,FALSE,4.112020747,4.254761284,0.966451576
